Gender,Age,Institute,hours,IU,cost,Internet,platform,better,pcib,ocib,st,tc,syp,ccb,satisfied
1,22,3,6,0,700,3,3,1,0,0,2,0,0,0,1
0,23,3,3,0,700,1,3,1,0,0,2,3,2,0,1
0,24,3,3,0,500,3,3,1,0,1,2,4,0,0,1
0,22,3,6,0,600,5,3,1,0,0,7,1,0,1,1
0,24,3,3,0,500,3,3,1,1,1,3,3,0,0,1
0,23,3,3,1,800,2,3,2,1,1,4,0,0,0,0
1,23,3,5,0,500,2,3,1,1,2,2,2,0,0,1
0,23,3,3,0,500,2,3,1,2,2,3,0,1,0,1
0,23,3,3,0,500,4,3,1,1,0,3,2,0,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,19,3,6,0,500,12,3,1,2,1,4,1,2,0,1
0,19,3,3,0,2000,5,3,1,1,2,4,0,2,0,0
0,21,3,4,0,700,5,3,1,1,2,7,0,2,0,0
0,20,3,6,1,1400,5,2,1,1,2,7,1,2,1,1
0,22,3,3,0,600,1,3,1,0,0,4,1,2,0,1
0,21,3,4,1,700,1,3,2,0,2,4,1,0,0,0
0,21,3,4,1,1500,4,3,1,0,1,4,0,0,0,1
0,19,3,5,1,5000,2,3,1,1,2,4,0,0,0,1
0,21,3,1,0,1000,5,3,1,1,1,4,3,0,1,1
0,15,1,1,0,800,2,5,1,1,0,8,2,0,1,1
0,18,2,2,0,500,5,2,1,2,0,0,2,0,1,0
0,16,1,1,0,1000,5,2,1,2,0,3,0,0,1,0
0,23,3,1,1,1000,3,3,1,2,0,6,3,0,1,1
0,21,3,5,0,600,4,2,1,0,0,8,1,0,0,1
0,23,3,4,0,500,5,3,1,0,2,4,2,0,0,0
1,23,3,5,0,1000,5,3,1,2,2,4,2,2,0,0
0,22,3,3,0,500,1,3,2,2,2,4,3,0,0,0
1,24,3,6,0,800,2,3,1,2,1,4,0,2,0,1
1,15,1,2,0,1000,10,2,1,2,1,6,4,2,1,0
0,24,3,5,0,800,4,3,1,2,0,9,4,0,0,0
1,22,3,4,0,500,15,3,1,1,0,6,0,2,0,1
1,23,3,4,1,800,4,2,1,1,1,5,0,2,0,0
0,22,3,2,0,800,2,2,1,1,2,4,3,0,0,1
0,22,3,3,0,500,15,3,1,1,2,3,0,2,0,0
0,25,3,3,1,500,10,3,1,1,2,4,0,0,0,1
0,23,3,2,1,1000,2,3,1,2,0,5,1,2,1,1
1,23,3,3,0,1200,2,3,1,2,1,5,3,2,1,1
0,24,3,2,0,800,3,3,1,2,2,5,0,2,1,1
1,22,3,4,0,500,4,2,1,2,2,4,1,0,1,0
0,21,3,1,0,1000,5,3,1,2,0,5,2,0,0,1
1,23,3,2,0,700,5,3,1,2,2,2,0,2,0,1
1,24,3,2,0,500,5,3,1,2,2,4,0,2,0,1
0,23,3,1,1,500,3,3,2,2,0,2,4,2,0,0
0,22,3,1,1,1000,1,3,1,1,2,3,4,0,1,1
1,23,3,4,0,350,4,3,1,1,1,2,0,2,0,0
0,23,3,3,1,350,7,3,1,1,2,2,4,0,1,0
0,23,3,4,0,1000,5,3,1,0,2,4,1,2,0,1
0,21,3,6,1,700,4,3,1,0,0,4,0,2,1,1
0,23,3,6,1,1200,5,3,2,1,2,8,1,2,0,0
0,23,3,6,1,300,18,2,1,1,2,4,0,2,1,1
1,12,1,3,1,1000,30,2,1,0,0,6,1,2,0,1
0,22,3,3,0,500,15,3,1,2,2,3,2,2,0,1
1,23,3,3,0,700,1,2,1,2,2,2,4,2,0,1
1,23,3,4,0,600,6,2,2,0,2,8,1,0,1,0
1,23,3,3,0,650,2,3,1,0,2,2,0,2,0,1
1,22,3,3,0,400,4,3,1,0,0,2,2,2,0,0
0,27,3,3,0,600,3,3,1,1,2,8,3,2,0,1
0,25,3,0,0,1000,5,2,1,1,2,4,2,0,1,0
0,24,3,2,1,200,3,3,1,1,0,3,0,2,0,1
0,23,3,4,1,2000,20,3,1,0,2,12,0,2,0,1
0,24,3,5,1,2000,10,2,1,1,0,5,0,0,1,0
1,24,3,4,0,1000,3,3,1,2,2,5,0,2,0,1
1,22,3,3,0,1000,5,2,1,2,2,4,0,0,0,1
0,24,3,1,0,250,3,3,1,1,2,4,1,0,0,0
0,23,3,4,1,1000,5,3,1,1,0,8,0,2,0,1
1,22,3,1,0,500,8,3,2,12,2,2,3,0,1,0
1,22,3,2,0,800,7,3,2,0,0,2,1,0,1,0
1,23,3,1,0,700,6,2,1,2,1,4,2,0,0,0
0,23,3,3,0,600,5,2,2,0,0,4,3,2,1,0
1,19,2,1,0,600,4,2,2,0,2,3,0,0,1,0
0,25,3,2,0,150,5,3,1,0,0,4,0,0,0,0
0,23,3,3,1,800,2,3,1,2,2,6,3,2,0,0
1,22,3,1,0,500,2,2,1,1,1,3,0,2,1,1
1,13,1,2,1,1000,2,2,1,1,1,4,3,0,1,0
1,17,2,3,0,100,5,2,1,1,0,5,0,2,1,0
0,23,3,4,1,750,2,3,1,2,0,2,1,2,0,1
0,26,3,3,0,500,4,3,2,1,1,4,0,0,0,0
0,25,3,5,1,100,1,3,1,0,0,4,0,2,0,1
0,25,3,4,0,500,1,3,1,2,1,2,3,0,0,0
0,25,3,5,0,1000,2,3,2,2,1,3,1,0,0,0
0,26,3,5,1,500,2,3,1,1,1,2,0,2,0,0
0,25,3,4,1,500,2,2,1,1,1,2,3,2,0,0
0,25,3,4,1,300,2,4,2,1,1,3,3,2,0,0
0,26,3,4,1,500,2,3,1,2,1,2,2,0,0,0
1,22,3,7,0,700,3,2,1,0,2,5,1,0,0,1
0,18,2,6,1,500,1,2,2,0,2,6,2,2,0,0
1,20,3,5,0,500,1,3,2,0,2,4,0,0,0,1
1,25,3,2,1,500,3,3,2,2,1,4,1,2,0,1
1,21,3,2,1,450,1,2,2,1,1,3,1,0,1,1
0,24,3,4,0,700,5,3,1,1,2,3,3,0,0,1
0,23,3,3,0,700,3,2,1,0,2,5,2,0,0,1
0,17,2,4,0,700,5,2,2,0,2,6,0,2,1,1
1,17,2,3,0,700,5,2,1,2,0,6,0,2,1,1
1,18,2,4,1,1000,1,3,1,2,1,6,0,2,1,1
1,16,2,4,0,1200,2,3,1,1,2,6,0,2,1,1
1,14,1,2,1,500,4,2,1,1,2,9,0,0,1,1
1,15,1,3,0,500,8,2,1,1,2,10,0,2,1,1
1,13,1,3,1,500,7,2,1,0,2,10,0,2,1,1
0,14,1,1,1,500,9,2,2,0,2,9,0,2,1,1
0,15,1,3,0,500,1,3,1,0,2,5,0,2,1,0
1,14,1,2,0,500,2,2,2,0,1,9,0,0,1,0
1,11,1,2,1,650,3,2,1,2,1,8,0,0,1,1
1,24,3,1,0,600,4,3,1,2,1,2,0,2,0,1
0,25,3,5,0,500,6,3,1,2,1,2,0,0,0,0
0,26,3,5,0,500,3,2,1,2,1,2,2,0,0,0
0,26,3,4,0,500,1,3,1,1,1,1,3,2,0,0
0,26,3,5,1,500,7,2,2,1,1,2,2,0,0,0
0,25,3,5,0,500,4,4,1,1,1,2,0,0,0,0
0,26,3,5,0,500,9,4,2,1,2,2,3,0,0,0
0,25,3,4,1,500,10,1,1,1,2,1,0,0,0,0
0,25,3,5,1,500,12,4,1,1,2,2,1,0,0,0
0,25,3,4,1,500,4,4,2,2,0,2,0,0,0,0
0,26,3,5,0,500,6,2,1,1,1,2,3,0,0,0
0,26,3,4,0,500,8,2,1,2,1,2,2,0,0,0
0,26,3,4,1,300,2,3,1,1,1,1,2,0,0,0
0,26,3,5,1,300,9,3,1,1,1,2,1,0,0,0
0,25,3,4,0,400,4,2,1,0,1,2,2,0,0,0
0,26,3,4,0,500,8,3,1,0,2,2,3,0,0,0
1,24,3,1,0,500,2,3,1,0,2,2,3,2,0,1
1,25,3,1,0,500,1,3,1,1,2,2,3,2,0,1
0,24,3,2,0,500,1,3,1,1,2,4,0,2,0,0
1,23,3,3,0,500,3,3,1,1,1,4,0,2,0,1
0,26,3,3,0,500,3,3,2,0,1,4,3,2,0,0
1,12,1,3,0,500,3,2,1,0,1,8,0,2,1,0
1,25,3,3,1,500,5,3,1,0,1,4,3,0,0,1
1,26,3,2,0,700,7,3,2,2,1,3,3,2,0,1
1,14,1,4,0,700,8,2,1,2,1,9,0,2,1,1
1,11,1,3,1,500,9,2,1,2,1,9,0,0,1,0
1,20,2,5,0,650,1,3,1,0,1,8,0,2,1,1
1,12,1,3,1,680,7,2,2,1,1,9,0,0,0,0
0,21,2,5,0,700,9,3,2,1,1,7,0,0,1,0
1,14,1,2,0,700,2,2,1,2,2,9,0,0,1,1
1,16,1,6,0,700,3,2,1,2,2,9,0,0,0,1
1,12,1,1,1,700,4,2,1,1,2,9,0,0,0,1
1,15,1,2,0,700,5,2,1,1,2,10,0,0,1,1
1,14,2,4,1,1200,8,3,1,0,2,6,0,0,1,1
1,13,2,3,0,700,2,3,1,0,1,7,0,0,1,1
1,11,1,2,1,700,9,2,1,1,1,9,0,0,1,1
1,16,2,3,0,700,6,2,1,1,1,6,0,0,0,1
1,19,2,4,0,700,2,2,1,1,1,6,0,0,1,1
1,15,1,2,1,500,1,2,1,1,1,9,0,0,0,1
1,19,2,4,0,550,2,3,1,1,1,6,0,0,1,1
1,18,2,3,0,700,3,2,1,0,2,6,0,0,1,1
1,19,2,3,1,650,5,3,2,0,2,7,2,0,0,1
1,16,1,6,0,550,7,2,1,0,2,9,0,0,0,1
1,13,1,4,1,500,8,2,1,1,1,8,0,0,0,1
1,19,2,5,0,750,1,3,2,0,1,8,0,0,1,1
1,14,1,2,1,450,4,2,1,0,2,8,0,0,0,1
1,13,1,2,1,300,3,2,1,0,2,8,0,1,1,1
0,16,1,6,0,650,6,3,1,0,2,8,3,0,0,0
1,14,1,5,0,500,9,3,1,2,2,9,2,0,1,1
1,13,1,3,0,700,10,2,1,2,1,9,0,0,1,1
1,16,1,2,1,550,12,3,2,2,1,8,0,1,1,0
1,18,2,2,0,1000,6,3,2,2,2,6,0,1,1,0
1,14,1,2,0,750,8,2,2,2,2,8,0,1,1,1
1,17,2,2,1,700,1,2,2,0,1,6,0,1,1,1
1,11,1,1,1,500,9,2,1,0,2,9,0,1,1,1
1,14,1,2,0,350,3,3,2,0,1,9,0,1,1,1
1,15,1,3,0,500,4,2,1,0,2,8,0,0,1,1
1,13,1,3,0,750,1,2,1,1,2,8,0,2,1,1
1,15,1,3,1,560,8,2,2,1,2,8,0,2,1,1
1,11,1,2,0,700,2,3,2,2,2,8,0,2,1,1
1,12,1,5,0,1000,9,2,1,2,1,9,0,2,1,1
1,11,1,3,0,350,4,2,2,1,1,10,0,2,1,1
1,15,1,4,0,500,7,2,1,1,1,8,0,2,0,1
1,10,1,2,0,700,1,2,1,1,2,8,0,0,1,0
1,11,1,4,0,750,1,3,1,0,2,10,0,0,1,1
1,19,2,5,1,800,1,2,2,0,1,6,0,0,1,0
1,19,2,3,1,550,2,3,1,0,1,6,0,0,1,1
1,15,2,4,1,700,5,3,2,0,1,8,0,0,1,1
1,19,2,4,0,300,8,2,1,2,2,6,0,0,1,1
1,18,2,4,0,350,9,3,1,2,2,6,0,0,0,1
1,18,2,4,0,650,1,2,2,2,1,6,0,0,1,1
1,18,2,2,0,350,4,2,2,2,0,5,0,0,1,0
1,14,1,3,1,700,6,2,1,2,0,4,3,0,0,0
1,19,2,3,0,450,2,2,1,2,0,8,0,0,0,0
1,19,2,4,0,500,9,3,2,0,0,6,0,0,0,1
1,18,2,2,1,1000,2,3,2,0,2,6,0,0,1,1
1,19,2,3,1,750,5,3,1,0,2,6,0,0,0,1
1,19,2,4,1,750,6,2,1,1,2,6,0,1,1,0
1,13,1,2,0,750,4,3,2,1,1,6,0,1,1,0
1,18,2,3,1,750,1,2,1,1,1,7,0,1,1,1
1,17,2,3,0,750,1,3,1,1,2,8,0,1,1,1
1,18,2,4,0,750,3,3,2,1,1,8,0,0,1,1
1,17,2,2,0,750,3,3,2,1,2,8,0,0,1,1
1,17,1,3,0,750,3,2,1,0,1,7,0,0,1,0
1,18,2,3,0,400,5,2,1,0,1,8,0,0,1,1
1,19,2,2,1,500,5,3,1,0,1,8,0,0,1,1
1,18,2,3,0,600,8,3,1,0,2,8,0,0,0,0
0,14,1,2,0,300,9,3,1,0,2,7,0,0,1,1
1,19,2,2,0,400,1,3,2,0,0,8,0,0,1,1
1,22,3,4,1,600,2,3,2,2,0,8,0,0,1,1
0,18,2,2,0,700,3,3,1,2,1,7,0,0,0,1
1,19,2,3,0,1200,4,3,1,2,2,9,0,0,0,1
0,18,2,4,1,400,1,3,2,2,2,6,0,0,1,1
0,19,2,3,0,500,2,3,1,2,1,6,0,0,1,1
0,17,2,4,1,300,1,3,2,2,2,5,0,0,0,1
0,20,3,3,0,350,2,3,1,0,2,2,0,0,0,1
0,22,3,2,0,500,6,3,1,0,1,3,0,0,0,1
0,23,3,4,0,700,5,3,1,0,1,3,0,0,0,1
0,21,3,2,0,300,5,3,1,0,0,2,0,0,0,0
0,24,3,3,0,500,4,3,1,0,2,3,0,0,0,0
0,24,3,4,1,1200,7,3,1,0,1,3,0,0,0,0
0,25,3,3,1,1000,9,3,1,0,2,4,0,0,0,1
0,17,2,2,0,500,5,2,2,0,2,6,0,0,0,0
0,25,3,4,0,1200,5,3,1,0,1,5,0,0,0,1
0,24,3,2,1,1000,4,3,1,0,1,4,0,0,0,1
0,25,3,3,1,650,4,3,2,0,2,5,0,0,0,1
0,23,3,3,0,700,6,3,1,0,2,5,0,0,0,0
0,10,1,4,1,700,3,2,1,0,2,9,0,0,1,0
0,25,3,4,1,350,3,3,1,0,0,5,0,0,0,1
0,22,3,3,1,400,5,3,1,2,0,4,0,1,1,1
0,25,3,5,1,1200,7,3,2,2,0,4,0,1,0,1
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
1,21,3,5,0,1000,6,2,2,2,2,5,2,2,0,0
0,12,1,4,0,700,20,2,1,2,2,6,0,2,0,0
0,23,3,2,1,200,2,3,1,0,2,3,0,1,1,0
0,24,3,6,0,850,2,3,1,0,2,9,1,2,0,1
0,23,3,3,0,500,1,3,1,0,0,2,1,2,0,1
0,24,3,3,0,700,3,3,1,1,0,4,2,2,1,1
0,23,3,4,1,900,8,3,2,0,2,7,2,2,0,0
0,24,3,3,1,1200,2,3,2,2,0,3,3,0,0,0
1,22,3,4,0,600,2,3,1,1,2,4,0,0,0,1
0,13,1,4,0,1000,9,2,1,0,0,3,0,2,1,1
